{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV_ROOFTOP;PV_UTILITY;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;DHN_SOLAR;DEC_SOLAR;PT_COLLECTOR;ST_COLLECTOR
7338;0.000149887457260182;0;0.000113896892360331;0.000164478;0.000114155;0.00933398096466443;0.00933398096466443;0.888741356123168;0.269267166246416;0.688527491839275;0.688527491839275;0.001164809;0.0768647495744725;0.0768647495744725;0.0768647495744725;0.0768647495744725
7339;0.000162669030234036;0;0.00010983760305733;0.000117484;0.000114155;0;0;1.10374772043597;0.286561541270714;0.688527491839275;0.688527491839275;0.002302284;0.00173853571403474;0.00173853571403474;0.00173853571403474;0.00173853571403474
7340;0.000166649778040272;0;0.00010853524773923;8.81E-05;0.000114155;0;0;1.08815542135296;0.299527909286474;0.688527491839275;0.688527491839275;0.041324117;0;0;0;0
7341;0.000163859304259928;0;0.00010782487211123;5.87E-05;0.000114155;0;0;0.93115506248486;0.310450709134944;0.688527491839275;0.688527491839275;0.065755692;0;0;0;0
7342;0.000150035703512615;0;0.00010716523759953;3.76E-05;0.000114155;0;0;0.701496398367276;0.310561504999435;0.688527491839275;0.688527491839275;0.045845148;0;0;0;0
7343;0.000140400041646462;0;0.000105812141165129;2.35E-05;0.000114155;0;0;0.397198924402817;0.317453379413129;0.688527491839275;0.688527491839275;0.017870552;0;0;0;0
7344;0.000131904602972692;0;0.000104712750312229;9.40E-06;0.000114155;0;0;0.122879345994225;0.328906930939509;0.688527491839275;0.688527491839275;0.001337349;0;0;0;0
7345;0.000121754602851095;0;0.000104154598033129;5.87E-06;0.000114155;0;0;0.0269485363916808;0.333840250364956;0.721818210950326;0.721818210950326;0.020472691;0;0;0;0
7346;0.00011769061226247;0;0.000102700019366128;2.35E-06;0.000114155;0;0;0.1040762097561;0.341667502024578;0.721818210950326;0.721818210950326;0.097427649;0;0;0;0
7347;0.000114897598854218;0.000264819388133933;0.000101262354404728;1.17E-06;0.000114155;0;0;0.187225738732438;0.354160490644459;0.721818210950326;0.721818210950326;0.121906556;0;0;0;0
