TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
PT_COLLECTOR	0.002398	0.000033	25.000000	0.000000	0.000001	Infinity	0.000000	-1.000000	1.000000	0.001449	1.000000	0.081224	
ST_COLLECTOR	0.002290	0.000026	25.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.001248	1.000000	0.081224	
H2_ELECTROLYSIS	15224.973832	418.785189	15.000000	0.000000	21.868678	Infinity	0.000000	-1.000000	1.000000	0.734699	0.900000	0.105671	
SMR	0.000115	0.000010	25.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.000286	0.854840	0.081224	
H2_BIOMASS	0.000144	0.000010	25.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.000209	0.860000	0.081224	
GASIFICATION_SNG	0.000332	0.000012	25.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.000537	0.844900	0.081224	
SYN_METHANATION	1987.211695	507.735032	40.000000	0.000000	11.494746	Infinity	0.000000	-1.000000	1.000000	0.931565	1.000000	0.069840	
BIOMETHANATION	0.000470	0.000007	20.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.003581	0.850000	0.090037	
BIO_HYDROLYSIS	5154.705349	308.811166	15.000000	0.000000	2.845137	Infinity	0.000000	-1.000000	1.000000	0.844900	0.844900	0.105671	
PYROLYSIS_TO_LFO	0.000598	0.000014	25.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.001885	0.844900	0.081224	
PYROLYSIS_TO_FUELS	0.000296	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.000557	0.844900	0.081224	
ATM_CCS	0.000356	0.000009	40.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.000319	1.000000	0.069840	
INDUSTRY_CCS	6899.563308	171.269905	40.000000	0.000000	2.772434	Infinity	0.000000	-1.000000	1.000000	0.933614	1.000000	0.069840	
AMMONIA_TO_H2	0.000113	0.000010	25.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.000411	0.860000	0.081224	
