TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
PHS	0.000000	0.000000	50.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.000000	1.000000	0.067014	
BATT_LI	0.000781	0.000001	15.000000	0.000000	0.000002	Infinity	0.000000	-1.000000	1.000000	0.000022	1.000000	0.105671	
BEV_BATT	0.000000	0.000000	1.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	1.064000	
PHEV_BATT	0.000000	0.000000	1.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	1.064000	
TS_DEC_DIRECT_ELEC	0.000802	0.000006	25.000000	0.000000	0.000042	Infinity	0.000000	-1.000000	1.000000	0.000004	1.000000	0.081224	
TS_DEC_HP_ELEC	0.000722	0.000005	25.000000	0.000000	0.000038	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.081224	
TS_DEC_THHP_GAS	0.000801	0.000006	25.000000	0.000000	0.000042	Infinity	0.000000	-1.000000	1.000000	0.000004	1.000000	0.081224	
TS_DEC_COGEN_GAS	0.000722	0.000005	25.000000	0.000000	0.000038	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.081224	
TS_DEC_COGEN_OIL	0.000802	0.000006	25.000000	0.000000	0.000042	Infinity	0.000000	-1.000000	1.000000	0.000004	1.000000	0.081224	
TS_DEC_ADVCOGEN_GAS	0.000722	0.000005	25.000000	0.000000	0.000038	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.081224	
TS_DEC_ADVCOGEN_H2	0.000723	0.000005	25.000000	0.000000	0.000038	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.081224	
TS_DEC_BOILER_GAS	803.264149	5.623387	25.000000	0.000000	42.343919	Infinity	0.000000	-1.000000	1.000000	0.027981	1.000000	0.081224	
TS_DEC_BOILER_WOOD	1104.138140	7.729706	25.000000	0.000000	58.204435	Infinity	0.000000	-1.000000	1.000000	0.029683	1.000000	0.081224	
TS_COAL_STOVE	0.006029	0.000042	25.000000	0.000000	0.000318	Infinity	0.000000	-1.000000	1.000000	0.000002	1.000000	0.081224	
TS_DEC_BOILER_OIL	0.000723	0.000005	25.000000	0.000000	0.000038	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.081224	
TS_DHN_DAILY	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.000000	1.000000	0.069840	
TS_DHN_SEASONAL	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.000000	1.000000	0.081224	
