TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
TS_DEC_THHP_GAS	0.000127	0.000001	25.000000	0.000000	0.000007	Infinity	0.000000	-1.000000	1.000000	0.000002	1.000000	0.081224	
TS_DEC_COGEN_GAS	0.000112	0.000001	25.000000	0.000000	0.000006	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.081224	
TS_DEC_COGEN_OIL	0.000127	0.000001	25.000000	0.000000	0.000007	Infinity	0.000000	-1.000000	1.000000	0.000001	1.000000	0.081224	
TS_DEC_ADVCOGEN_GAS	0.000112	0.000001	25.000000	0.000000	0.000006	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.081224	
TS_DEC_ADVCOGEN_H2	0.000112	0.000001	25.000000	0.000000	0.000006	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.081224	
TS_DEC_BOILER_GAS	741.556962	3.902931	25.000000	0.000000	39.029314	Infinity	0.000000	-1.000000	1.000000	0.028003	1.000000	0.081224	
TS_DEC_BOILER_WOOD	1113.079044	5.858311	25.000000	0.000000	58.583108	Infinity	0.000000	-1.000000	1.000000	0.029055	1.000000	0.081224	
TS_COAL_STOVE	0.000936	0.000005	25.000000	0.000000	0.000049	Infinity	0.000000	-1.000000	1.000000	0.000003	1.000000	0.081224	
TS_DEC_BOILER_OIL	0.000112	0.000001	25.000000	0.000000	0.000006	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.081224	
TS_DHN_DAILY	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.000000	1.000000	0.069840	
TS_DHN_SEASONAL	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.000000	1.000000	0.081224	
TS_HIGH_TEMP	0.000634	0.000007	25.000000	0.000000	0.000023	Infinity	0.000000	-1.000000	1.000000	0.004662	1.000000	0.081224	
GAS_STORAGE	65.465743	0.000000	30.000000	0.000000	654.657433	Infinity	0.000000	-1.000000	1.000000	0.000171	1.000000	0.075785	
