,en,p,pw
2023.4,1.162696054336071,1.1468019276250738,1.085536344118876
2023.5,1.160487241651841,1.1482039173591398,1.0887978429533605
2023.6,1.1585445843601245,1.149613371609744,1.092069140975781
2023.7,1.1568352177006107,1.1510303700146252,1.0953502676278417
2023.8,1.1553279631691697,1.1524549491310025,1.098641252439705
2023.9,1.1539936994014088,1.1538870981256337,1.1019421250302557
2024.0,1.152805616859776,1.1553267580330002,1.10525291510737
2024.1,1.1517393719898652,1.1567738236800862,1.1085736524681806
2024.2,1.1507731559732595,1.1582281475150389,1.1119043669993465
2024.3,1.149887692430964,1.1596895447048061,1.1152450886773206
2024.4,1.149066177460271,1.16115779898263,1.1185958475686208
2024.5,1.1482941742656847,1.1626326688296056,1.1219566738300997
2024.6,1.147559473421735,1.164113893665413,1.125327597709216
2024.7,1.146851928531256,1.1656011998021534,1.128708649544308
2024.8,1.1461632757614326,1.167094305982553,1.1320998597648644
2024.9,1.145486944489278,1.1685929283804404,1.1355012588918003
2025.0,1.1448178650981244,1.1700967849882402,1.138912877537731
2025.1,1.1441522788592675,1.171605599354224,1.1423347464072473
2025.2,1.1434875538228098,1.1731191036624322,1.1457668962971919
2025.3,1.1428220097373365,1.1746370411714808,1.1492093580969371
2025.4,1.1421547542221844,1.176159168045879,1.1526621627886624
2025.5,1.1414855317274648,1.1776852546258756,1.1561253414476333
2025.6,1.140814586231164,1.179215086190059,1.159598925242481
2025.7,1.1401425381329153,1.1807484632697043,1.1630829454354832
2025.8,1.1394702754023414,1.1822852015758547,1.1665774333828451
2025.9,1.1387988587174493,1.1838251315999258,1.170082420534982
2026.0,1.1381294400763888,1.185368097946738,1.1735979384368016
2026.1,1.1374631941751427,1.1869139584557518,1.177124018727989
2026.2,1.1368012617059444,1.1884625831622488,1.1806606931432906
2026.3,1.1362097438368444,1.1900141883094844,1.1842079935127998
2026.4,1.1361742299711393,1.191574275478188,1.187765951762244
2026.5,1.1372178454802662,1.193154922388836,1.1913345999132716
2026.6,1.1396739681479051,1.1947690087369243,1.19491397008374
2026.7,1.1436865348445928,1.1964276861294418,1.1985040944880045
2026.8,1.1492181715690828,1.19813923791088,1.2021050054372096
2026.9,1.1560659157683222,1.1999083734876088,1.2057167353395777
2027.0,1.1638841525091614,1.2017357839678382,1.2093393167007025
2027.1,1.172212495291402,1.2036179232082973,1.2129727821238407
2027.2,1.1805046308252627,1.2055469782601764,1.2166171643102055
2027.3,1.188168051418167,1.2075110173680723,1.2202724960592612
2027.4,1.1949077993662265,1.2094971868024091,1.2239388102690185
2027.5,1.2007634289772986,1.2114978643678125,1.2276161399363297
2027.6,1.2057964838133084,1.2135082699205568,1.2313045181571867
2027.7,1.2100731722112572,1.2155245841488937,1.2350039781270183
2027.8,1.213661749990157,1.217543550524552,1.2387145531409895
2027.9,1.2166304586670968,1.2195623756012601,1.2424362765943002
2028.0,1.2190459455689133,1.2215786878640962,1.2461691819824867
2028.1,1.2209720903683825,1.223590505281575,1.2499133029017229
2028.2,1.2224691668013252,1.2255962024329352,1.253668673049122
2028.3,1.2235932768142341,1.227594476494714,1.2574353262230409
2028.4,1.2243960038568353,1.2295843128723234,1.2612132963233833
2028.5,1.2249242408594558,1.23156495134067,1.265002617351906
2028.6,1.2252201560836902,1.2335358533829268,1.2688033234125236
2028.7,1.2253212664478244,1.2354966712286162,1.2726154487116161
2028.8,1.2252605932268552,1.2374472189338837,1.2764390275583373
2028.9,1.2250668793829116,1.2393874457205498,1.2802740943649225
2029.0,1.2247648513669007,1.2413174116913757,1.2841206836469987
2029.1,1.2243755111976675,1.2432372659617723,1.2879788300238957
